iso2,standardised_legal_form_orbis,national_legal_form_orbis
AO,Private limited companies,Private limited company
AO,Public limited companies,Public limited company
AO,Non profit organisations,Religious institution
AO,Non profit organisations,Health institution
AO,Other legal forms,Fund
AO,Non profit organisations,Association
AO,Branches,Branch
AO,Non profit organisations,Educational institution
AO,Non profit organisations,Foundation
AO,Other legal forms,Trade union
AO,Other legal forms,Trust
AR,Public limited companies,Public limited company - SA
AR,Companies with unknown/unrecorded legal form,NA
AR,Private limited companies,Limited liability company - SRL
AR,Public limited companies,Insurance stock company
AR,Branches,Branch
AR,Other legal forms,Owners' association
AR,Non profit organisations,Mutual company
AR,Other legal forms,Trust
AR,Public authorities,Government body
AR,Non profit organisations,Association
AR,Non profit organisations,Civil association
AR,Partnerships,Limited partnership
AR,Non profit organisations,Mutual association
AR,Public authorities,Public utility
AR,Partnerships,General partnership
AR,Non profit organisations,Religious institution
AR,Public authorities,Municipality
AR,Branches,Branch of a foreign company
AR,Other legal forms,De facto partnership
AR,Other legal forms,Financial trust
AR,Other legal forms,Cooperative association
AR,Partnerships,Worker cooperative company
AR,Other legal forms,Consortium
AR,Non profit organisations,Mutual guarantee company
AR,Other legal forms,State company
AR,Non profit organisations,"Association (league, union, society, club, etc.)"
AR,Other legal forms,Housing cooperative company
AR,Partnerships,Cooperative company
AR,Non profit organisations,Chamber of commerce and industry
AR,Non profit organisations,Educational institution
AR,Non profit organisations,Health institution
AR,Partnerships,Limited partnership by shares
AR,Partnerships,Consumers cooperative company
AR,Sole traders/proprietorships,Sole trader
AR,Public limited companies,Open joint stock company
AR,Other legal forms,Credit cooperative company
AR,Non profit organisations,Sports club
AR,Other legal forms,Condominium
AR,Partnerships,Civil company
AR,Non profit organisations,Association of professionals
AR,Public authorities,Cultural center
AR,Partnerships,Agricultural cooperative company
AR,Public authorities,Community center
AR,Partnerships,Insurance cooperative company
AR,Non profit organisations,Agricultural association
AR,Other legal forms,Fund
AT,Private limited companies,Private limited liability company - GmbH
AT,Public limited companies,Public limited company - AG
AT,Foreign companies,Foreign company
AT,Public limited companies,European company
AT,Private limited companies,Limited liability company & partnership - GmbH & Co. KG
AT,Partnerships,Limited partnership - KG
AT,Public limited companies,Joint stock company
AT,Partnerships,Registered cooperative - eG
AT,Partnerships,Savings bank
AT,Partnerships,Registered limited liability cooperative
AT,Companies with unknown/unrecorded legal form,NA
AT,Partnerships,General partnership - OHG
AT,Public limited companies,Insurance stock company
AT,Non profit organisations,Private foundation
AT,Non profit organisations,Association
AT,Non profit organisations,Mutual insurance company
AT,Sole traders/proprietorships,Sole proprietorship - e.U.
AT,Other legal forms,Small business
AT,Sole traders/proprietorships,Non-registered individual business
AT,Partnerships,Non statutory partnership - BGB
AT,Partnerships,Non statutory partnership - association - BGB
AT,Non profit organisations,Registered association - eV
AT,Branches,Branch
AT,Private limited companies,Limited liability company
AT,Other legal forms,European economic interest group
AT,Public authorities,Public corporation
AT,Other legal forms,Investment fund
AT,Other legal forms,Civil right partnership - GbR
AT,Other legal forms,Fund
AT,Non profit organisations,Foundation
AT,Other legal forms,Condominium
AT,Public authorities,Legal entity of public law
AT,Sole traders/proprietorships,Liberal profession
AT,Other legal forms,Open-ended investment company
AU,Private limited companies,Proprietary limited company
AU,Foreign companies,Foreign company
AU,Other legal forms,Incorporated entity
AU,Public limited companies,Public company
AU,Other legal forms,Unincorporated entity
AU,Public authorities,Government entity
AU,Companies with unknown/unrecorded legal form,NA
AU,Other legal forms,Fixed unit trust
AU,Public limited companies,Public limited company
AU,Partnerships,Partnership
AU,Other legal forms,Unlisted public unit trust
AU,Other legal forms,Holding company
AU,Other legal forms,Listed public unit trust
AU,Partnerships,Limited partnership
AU,Partnerships,Cooperative company
AU,Private limited companies,Government statutory entity
AU,Other legal forms,Superannuation fund
AU,Public authorities,Government incorporated entity
AU,Other legal forms,Business name
AU,Other legal forms,Family partnership
AU,Other legal forms,Registered Australian body
AU,Other legal forms,Discretionary trading trust
AU,Other legal forms,Investment trust
AU,Public limited companies,Insurance stock company
AU,Other legal forms,Public trading trust
AU,Sole traders/proprietorships,Sole trader
AU,Other legal forms,Trust
AU,Other legal forms,Discretionary investment trust
AU,Other legal forms,Hybrid trust
AU,Other legal forms,Fixed trust
AU,Other legal forms,Real estate investment trust
AU,Other legal forms,Fund
AU,Other legal forms,Corporate unit trust
AU,Other legal forms,No liability (mining) company
AU,Other legal forms,Discretionary services management trust
AU,Other legal forms,Cash management trust
AU,Other legal forms,Condominium of flat owners
AU,Other legal forms,Deceased estate
AU,Public authorities,Government unincorporated entity
AU,Other legal forms,Exchange traded fund
AU,Other legal forms,State government fixed unit trust
AU,Branches,Branch
AU,Other legal forms,Territory government fixed trust
AU,Other legal forms,Open-ended investment company
AU,Other legal forms,Closed-ended investment company
AU,Non profit organisations,Association
AU,Other legal forms,Pooled superannuation trust
AU,Other legal forms,State government discretionary investment trust
AU,Other legal forms,Local government discretionary trading trust
AU,Other legal forms,State government fixed trust
AU,Other legal forms,Territory government fixed unit trust
AU,Other legal forms,State government trust
AU,Other legal forms,Local government discretionary investment trust
AZ,Companies with unknown/unrecorded legal form,NA
AZ,Public limited companies,Insurance stock company
AZ,Public limited companies,Open joint stock company
AZ,Non profit organisations,Public institution
AZ,Branches,Branch
AZ,Sole traders/proprietorships,Entrepreneur
AZ,Private limited companies,Limited liability company
AZ,Non profit organisations,Association
AZ,Partnerships,General partnership
AZ,Partnerships,Cooperative company
AZ,Other legal forms,Political party
AZ,Non profit organisations,Non profit organization
AZ,Foreign companies,Representative office
AZ,Private limited companies,Closed joint stock company
AZ,Partnerships,Limited partnership
BA,Private limited companies,Limited liability company - d.o.o.
BA,Public limited companies,Joint stock company - a.d./d.d.
BA,Companies with unknown/unrecorded legal form,NA
BA,Non profit organisations,Institution
BA,Public limited companies,Public limited company
BA,Sole traders/proprietorships,Entrepreneur - workshop
BA,Public limited companies,Insurance stock company
BA,Public authorities,Public authority
BA,Partnerships,Cooperative society
BA,Non profit organisations,Business association
BA,Partnerships,General partnership - o.d.
BA,Other legal forms,Social company
BA,Foreign companies,Representative office of foreign legal entity
BA,Partnerships,Limited partnership - k.d.
BA,Branches,Branch
BA,Other legal forms,Fund
BA,Other legal forms,Socially owned company
BB,Public limited companies,Insurance stock company
BB,Companies with unknown/unrecorded legal form,NA
BB,Public limited companies,Public limited company
BB,Non profit organisations,Mutual company
BB,Private limited companies,Limited company
BB,Sole traders/proprietorships,Sole proprietorship
BB,Other legal forms,Company
BB,Other legal forms,Foreign sales corporation
BB,Non profit organisations,Charity association
BB,Other legal forms,Pharmacy
BB,Private limited companies,Limited liability company
BB,Other legal forms,International business company
BB,Branches,Branch
BB,Partnerships,Limited partnership
BB,Public limited companies,Corporation
BB,Other legal forms,Fund
BB,Other legal forms,Trust company
BD,Public limited companies,Public limited company
BD,Companies with unknown/unrecorded legal form,NA
BD,Private limited companies,Private limited company
BD,Branches,Branch
BD,Public limited companies,Insurance stock company
BD,Partnerships,Partnership
BE,Foreign companies,Foreign company whose nature is not described
BE,Public limited companies,Limited company by shares (by private law) - SA/NV
BE,Private limited companies,Private limited liability company - SPRL/BVBA
BE,Public limited companies,Limited company by shares - SA/NV
BE,Partnerships,Limited partnership by shares - SCA/Comm.VA
BE,Companies with unknown/unrecorded legal form,NA
BE,Foreign companies,Foreign company with a permanent office in Belgium
BE,Private limited companies,Private limited liability company (new CCA) - SRL/BV
BE,Partnerships,Cooperative company - SC/CV
BE,Public limited companies,Limited company by shares (by public law) - SA/NV
BE,Public limited companies,Insurance stock company
BE,Partnerships,Limited partnership - SCS/Comm.V
BE,Public authorities,Organization in charge of financing the retirement
BE,Partnerships,Cooperative company with limited liability - SCRL/CVBA
BE,Public limited companies,European company
BE,Public authorities,Local government body
BE,Other legal forms,Company with a social aim (by public law)
BE,Non profit organisations,Non profit association - ASBL/VZW
BE,Branches,Branch
BE,Public authorities,Public institution (new CCA)
BE,Public authorities,Association in charge of missions
BE,Other legal forms,Company (by private law)
BE,Non profit organisations,Foundation with public purpose
BE,Other legal forms,Company (by public law)
BE,Public limited companies,Limited company by shares with a social aim - SA/NV
BE,Partnerships,General partnership - SNC/VOF
BE,Partnerships,Cooperative company with limited liability with a social aim - SCRL/CVBA
BE,Private limited companies,One-person company with limited liability - SPRLU/EBVBA
BE,Non profit organisations,Mutual company
BE,Public limited companies,Limited company by shares with a social aim (by public law) - SA/NV
BE,Other legal forms,Economic joint venture with Belgian office - GIE/ESV
BE,Partnerships,Professional partnership in the form of a cooperative company with limited liability
BE,Public authorities,Autonomous local authority with legal personality
BE,Non profit organisations,National health service
BE,Non profit organisations,International non profit association
BE,Other legal forms,Economic joint venture - GIE/ESV
BE,Non profit organisations,Private foundation
BE,Public authorities,Services providers association
BE,Other legal forms,European economic joint venture with Belgian office - GEIE/EESV
BE,Other legal forms,European economic joint venture - GEIE/EESV
BE,Partnerships,Professional partnership in the form of a private limited liability company
BE,Partnerships,Professional partnership in the form of a limited company by shares
BE,Public authorities,Ministry of the Interior & Public Office
BE,Public limited companies,Limited company by shares with a social aim (by private law) - SA/NV
BE,Foreign companies,Foreign company which has a person responsible for VAT in Belgium
BE,Public limited companies,Public limited company
BE,Private limited companies,Private limited liability company with a social aim - SPRL/BVBA
BE,Partnerships,Cooperative company with unlimited joint and several liability - SCRI/CVOA
BE,Partnerships,Limited partnership with a social aim - SCS/Comm.V
BE,Foreign companies,European economic joint venture with foreign principal office - GEIE/EESV
BE,Public authorities,Ministries (except of the Interior & Public Office)
BE,Partnerships,Professional partnership in the form of a limited partnership by shares
BE,Partnerships,Limited partnership by shares with a social aim - SCA/Comm.VA
BE,Partnerships,Cooperative company with limited liability by way of participating interest - SCRL/CVBA
BE,Partnerships,Professional partnership in the form of a one-man company with limited liability
BE,Partnerships,"Association (except non profit), organization"
BE,Other legal forms,Project association
BE,Partnerships,Agricultural partnership
BE,Partnerships,Professional partnership in the form of a general partnership
BE,Non profit organisations,"International organization, international association"
BE,Other legal forms,Economic joint venture with a social aim - GIE/ESV
BE,Public authorities,Organ registered by the Social Security
BE,Partnerships,Professional partnership in the form of a cooperative company with unlimited joint
BE,Partnerships,Professional partnership in the form of a limited partnership
BE,Sole traders/proprietorships,"Independent natural person, craftsman"
BE,Other legal forms,Owners' association
BE,Other legal forms,VAT-unit
BE,Other legal forms,Unincorporated association
BE,Other legal forms,Company being founded
BE,Non profit organisations,Foreign founding
BE,Non profit organisations,Foreign non profit association
BE,Non profit organisations,Foreign international non profit association
BE,Other legal forms,Professional association
BE,Other legal forms,Investment company with variable capital - icvc
BE,Non profit organisations,Health insurance funds
BE,Public authorities,Public center of social action
BE,Other legal forms,Fund
BE,Other legal forms,Mutual fund for investment
BE,Other legal forms,Open-ended investment company
BE,Other legal forms,Civil right partnership
BE,Private limited companies,Limited liability company
BE,Other legal forms,Investment fund
BE,Foreign companies,Foreign company with property in Belgium
BE,Foreign companies,Foreign company without a registered office in Belgium (with a Nat.no)
BE,Partnerships,General partnership with a social aim - SNC/VOF
BE,Partnerships,Cooperative company with unlimited joint and several liability with a social aim - SCRI/CVOA
BE,Public authorities,Municipality
BE,Partnerships,Limited partnership or general partnership - SCS/Comm.V or SNC/VOF
BE,Public authorities,Territorial community
BE,Partnerships,Agricultural professional partnership
BE,Other legal forms,Intermunicipal company
BE,Private limited companies,Private limited liability company being liquidated - SPRL/BVBA
BE,Private limited companies,One-person company with limited liability with a social aim
BE,Partnerships,Professional partnership
BE,Foreign companies,Economic joint venture with foreign principal office - GIE/ESV
BE,Partnerships,Cooperative company with unlimited joint and several liability by way of participating interest - SCRI/CVOA
BE,Partnerships,Cooperative company with a social aim - SC/CV
BE,Partnerships,Cooperative company with limited liability with a social aim being liquidated - SCRL/CVBA
BF,Public limited companies,Limited company
BF,Private limited companies,Limited liability company
BF,Companies with unknown/unrecorded legal form,NA
BF,Public limited companies,Public limited company
BF,Private limited companies,Private limited company
BF,Non profit organisations,Association
BF,Sole traders/proprietorships,Sole trader
BF,Public authorities,Public authority
BF,Branches,Branch of a foreign company
BF,Sole traders/proprietorships,Proprietorship company
BG,Public limited companies,Public limited company - AD
BG,Public limited companies,One-person public limited company - EAD
BG,Private limited companies,One-person private limited company - EOOD
BG,Other legal forms,Company according to special law
BG,Partnerships,Limited partnership - KD
BG,Private limited companies,Private limited company - OOD
BG,Foreign companies,Foreign company
BG,Other legal forms,State owned company
BG,Other legal forms,Pension fund
BG,Sole traders/proprietorships,Sole proprietorship - ET
BG,Other legal forms,Business department
BG,Public authorities,Public authority
BG,Branches,Branch
BG,Public authorities,Legal person subordinated to a state institution
BG,Foreign companies,Foreign legal entity
BG,Partnerships,Cooperative company
BG,Companies with unknown/unrecorded legal form,NA
BG,Partnerships,General partnership - SD
BG,Public limited companies,European company
BG,Non profit organisations,Association
BG,Other legal forms,Mutual fund
BG,Foreign companies,Foreign company representation
BG,Partnerships,Law firm
BG,Sole traders/proprietorships,Entrepreneur - self insured
BG,Non profit organisations,Educational institution
BG,Public authorities,Public authority body
BG,Non profit organisations,Foundation
BG,Partnerships,Limited partnership by shares - KDA
BG,Non profit organisations,Religious institution
BG,Other legal forms,Investment company
BG,Branches,Branch of a foreign company
BG,Other legal forms,Municipal company
BG,Other legal forms,Political party
BG,Public authorities,Community center
BG,Non profit organisations,Health institution
BG,Non profit organisations,Scientific institution
BG,Public limited companies,Insurance stock company
BG,Public authorities,Municipality
BG,Partnerships,Building cooperative company
BG,Other legal forms,Trade union
BG,Other legal forms,Insurance fund
BG,Non profit organisations,Cultural institution
BG,Non profit organisations,Association of professionals
BG,Other legal forms,Trade representative
BG,Public authorities,Cultural center
BG,Public authorities,Administration
BG,Partnerships,Savings bank
BG,Other legal forms,Investment fund
BG,Public authorities,Central bank
BG,Non profit organisations,Public organization
BG,Public authorities,Embassy
BG,Public authorities,International organization
BG,Other legal forms,Fund
BG,Other legal forms,Investment company with variable capital
BG,Other legal forms,Association of cooperative companies
BH,Sole traders/proprietorships,Sole proprietorship
BH,Private limited companies,Closed joint stock company
BH,Public limited companies,Public joint stock company
BH,Private limited companies,Limited liability company
BH,Private limited companies,One-person company - SPC
BH,Public authorities,Government body
BH,Other legal forms,Joint venture company
BH,Public limited companies,Insurance stock company
BH,Companies with unknown/unrecorded legal form,NA
BH,Partnerships,General partnership
BH,Other legal forms,Company
BH,Other legal forms,Government owned corporation
BH,Foreign companies,Foreign (registered) company's office
BH,Public limited companies,Public limited company
BH,Other legal forms,Not registered
BH,Private limited companies,"Closed joint stock company - exempt, resident"
BH,Private limited companies,"Closed joint stock company - exempt, offshore"
BH,Partnerships,Limited partnership
BH,Branches,Branch
BH,Partnerships,Specialized partnership
BH,Sole traders/proprietorships,Individual establishment
BH,Other legal forms,Open-ended investment company
BH,Other legal forms,Unlisted closed-ended investment company
BI,Companies with unknown/unrecorded legal form,NA
BI,Public limited companies,Limited company - SA
BI,Private limited companies,Private limited company - SPRL
BI,Private limited companies,Limited liability company - SARL
BI,Branches,Branch of a foreign company
BI,Partnerships,General partnership
BI,Other legal forms,Establishment
BI,Sole traders/proprietorships,Sole trader
BI,Sole traders/proprietorships,Proprietorship company
BI,Non profit organisations,Association
BI,Other legal forms,Trust fund
BI,Public authorities,Public authority
BI,Partnerships,Limited partnership
BI,Non profit organisations,Foundation
BJ,Public limited companies,Limited company - SA
BJ,Companies with unknown/unrecorded legal form,NA
BJ,Private limited companies,Private limited company
BJ,Private limited companies,Limited liability company - SARL
BJ,Sole traders/proprietorships,Sole trader
BJ,Branches,Branch of a foreign company
BJ,Partnerships,General partnership
BJ,Public authorities,Institution
BJ,Partnerships,Cooperative society
BJ,Public authorities,Public authority
BJ,Non profit organisations,Association
BN,Companies with unknown/unrecorded legal form,NA
BN,Public limited companies,Insurance stock company
BN,Branches,Branch
BN,Private limited companies,Private limited company
BN,Public limited companies,Public limited company
BN,Other legal forms,Small business
BN,Other legal forms,Fund
BN,Foreign companies,Foreign company
BO,Public limited companies,Limited company - S.A.
BO,Companies with unknown/unrecorded legal form,NA
BO,Private limited companies,Limited liability company - S.R.L.
BO,Public limited companies,Insurance stock company
BO,Public limited companies,Limited company of mixed economy - S.A.M.
BO,Branches,Branch
BO,Sole traders/proprietorships,Sole proprietorship
BO,Partnerships,Limited partnership - S.C.S.
BO,Partnerships,General partnership
BO,Non profit organisations,Housing financial institution
BO,Partnerships,Limited partnership by shares - S.C.A.
BO,Foreign companies,Foreign company
BR,Public authorities,Central government body
BR,Private limited companies,Limited liability company - LTDA
BR,Other legal forms,Governmental fund
BR,Public limited companies,State owned joint stock company
BR,Public limited companies,Open joint stock company
BR,Public authorities,State or federal district
BR,Public authorities,Public authority
BR,Public limited companies,Closed joint stock company
BR,Sole traders/proprietorships,Sole proprietorship
BR,Foreign companies,Foreign company's representative office
BR,Other legal forms,Government company
BR,Public authorities,Municipality
BR,Public limited companies,Public limited company
BR,Other legal forms,Binational company
BR,Public authorities,Local government body
BR,Non profit organisations,Non profit cooperative company
BR,Companies with unknown/unrecorded legal form,NA
BR,Branches,Branch
BR,Foreign companies,Foreign company
BR,Non profit organisations,Association
BR,Non profit organisations,Mutual company
BR,Private limited companies,One-person company with limited liability
BR,Non profit organisations,Foundation
BR,Public authorities,Municipal government body
BR,Partnerships,Partnership
BR,Other legal forms,Investment fund
BR,Public limited companies,Insurance stock company
BR,Non profit organisations,Governmental or municipal foundation
BR,Other legal forms,Consortium
BR,Non profit organisations,Non profit organization
BR,Other legal forms,Joint venture company
BR,Sole traders/proprietorships,Individual real estate company
BR,Other legal forms,Organizational unit of political party
BR,Public authorities,Public foundation
BR,Non profit organisations,Autonomous public benefit institution
BR,Other legal forms,Trade union
BR,Other legal forms,Employers union
BR,Non profit organisations,Religious institution
BR,Non profit organisations,Foreign foundation/association
BR,Sole traders/proprietorships,Farmer (individual)
BR,Public authorities,Public association
BR,Public authorities,Government agency
BR,Other legal forms,Condominium
BR,Partnerships,Limited partnership by shares
BR,Partnerships,General partnership
BR,Other legal forms,Private fund
BR,Partnerships,Limited partnership
BR,Non profit organisations,Notarial and registral service
BR,Public authorities,Diplomatic corps of foreign country
BR,Sole traders/proprietorships,One-person law firm
BR,Public authorities,Arbitration court
BR,Public authorities,International organization
BR,Other legal forms,Small business
BR,Public authorities,Governmental organization
BR,Non profit organisations,Foreign association/foundation's representative office
BR,Other legal forms,Candidate of political party
BR,Non profit organisations,Foreign non profit association
BR,Non profit organisations,Community of indigenous small-numbered people
BR,Private limited companies,Private limited company
BR,Other legal forms,Open-ended investment company
BR,Other legal forms,Unlisted closed-ended investment company
BR,Sole traders/proprietorships,Entrepreneur
BR,Other legal forms,Fund
BR,Other legal forms,Special purpose company - SPE
BS,Companies with unknown/unrecorded legal form,NA
BS,Public limited companies,Limited company
BS,Public limited companies,Public limited company
BS,Public limited companies,Insurance stock company
BS,Other legal forms,International business company
BS,Private limited companies,Private limited company
BS,Private limited companies,Domestic limited company
BS,Other legal forms,Bank or trust company
BS,Other legal forms,Executive entity
BS,Other legal forms,Exempted limited partnership
BS,Non profit organisations,Foundation
BS,Other legal forms,Segregated accounts company
BS,Other legal forms,Limited duration company
BS,Non profit organisations,Non profit company
BS,Other legal forms,Investment condominium
BS,Branches,Branch
BS,Other legal forms,Fund
BS,Other legal forms,Open-ended investment company
BS,Other legal forms,Limited company by shares and by guarantee
BS,Partnerships,Partnership
BS,Private limited companies,Limited company by shares
BT,Public limited companies,Public limited company
BT,Public limited companies,Insurance stock company
BT,Companies with unknown/unrecorded legal form,NA
BW,Private limited companies,Private limited company
BW,Public limited companies,Limited company
BW,Public limited companies,Public limited company
BW,Public authorities,Public authority
BW,Companies with unknown/unrecorded legal form,NA
BW,Sole traders/proprietorships,Proprietorship company
BW,Branches,Branch of a foreign company
BW,Non profit organisations,Limited company by guarantee
BW,Non profit organisations,Association
BW,Other legal forms,Fund
BW,Other legal forms,Unit trust
BW,Private limited companies,Limited liability company
BW,Branches,Branch
BW,Partnerships,General partnership
BY,Public limited companies,Joint stock company - OAO
BY,Private limited companies,Closed joint stock company - ZAO
BY,Private limited companies,Limited liability company - OOO
BY,Companies with unknown/unrecorded legal form,NA
BY,Other legal forms,Unitary enterprise
BY,Private limited companies,Private unitary company
BY,Other legal forms,Additional liability company
BY,Other legal forms,Republican unitary company
BY,Other legal forms,State company
BY,Partnerships,Cooperative company
BY,Other legal forms,Municipality owned company
BY,Sole traders/proprietorships,Sole proprietorship
BY,Foreign companies,Foreign company
BY,Other legal forms,Farm - FKH
BY,Other legal forms,Joint venture company
BY,Partnerships,Consumers cooperative company
BY,Other legal forms,Union
BY,Public authorities,Public authority
BY,Partnerships,Building cooperative company
BY,Other legal forms,Collective company
BY,Non profit organisations,Public or religious association/organization
BY,Other legal forms,Trust fund
BY,Sole traders/proprietorships,Entrepreneur
BY,Partnerships,Limited partnership
BY,Other legal forms,Affiliate
BY,Branches,Branch
BY,Other legal forms,Housing cooperative company
BY,Other legal forms,Concern
BY,Non profit organisations,Religious institution
BY,Partnerships,General partnership
BY,Public authorities,Arbitration court
BY,Other legal forms,Political party
BZ,Companies with unknown/unrecorded legal form,NA
BZ,Other legal forms,International business company
BZ,Branches,Branch
BZ,Private limited companies,Private limited company
BZ,Private limited companies,Limited company by shares
BZ,Private limited companies,Limited company
BZ,Private limited companies,Incorporated business
BZ,Other legal forms,Fund
BZ,Private limited companies,Limited liability company
CA,Public limited companies,Public limited company
CA,Private limited companies,Incorporated business
CA,Public limited companies,Insurance stock company
CA,Companies with unknown/unrecorded legal form,NA
CA,Other legal forms,Investment trust
CA,Non profit organisations,"Association (league, union, society, club, etc.)"
CA,Partnerships,Cooperative company
CA,Non profit organisations,Non profit company
CA,Non profit organisations,Health institution
CA,Non profit organisations,Mutual company
CA,Partnerships,Limited partnership
CA,Non profit organisations,Life insurance company
CA,Other legal forms,Income fund
CA,Other legal forms,Trust
CA,Non profit organisations,Fraternal benefit organization
CA,Branches,Branch
CA,Public authorities,Public authority
CA,Non profit organisations,Religious institution
CA,Other legal forms,Unlimited liability company
CA,Private limited companies,Limited liability company
CA,Non profit organisations,Educational institution
CA,Foreign companies,Foreign company
CA,Non profit organisations,Foundation
CA,Other legal forms,Professional association
CA,Non profit organisations,Mutual insurance company
CA,Partnerships,Limited liability partnership
CA,Other legal forms,Joint venture company
CA,Private limited companies,Insurance company
CA,Public authorities,International organization
CA,Other legal forms,Condominium
CA,Other legal forms,School board
CA,Other legal forms,Union
CA,Other legal forms,Professional corporation
CA,Partnerships,General partnership
CA,Other legal forms,Political party
CA,Non profit organisations,Charity association
CA,Private limited companies,Bank
CA,Private limited companies,Private limited company
CA,Private limited companies,Professional limited liability company
CA,Other legal forms,Trust fund
CA,Other legal forms,Owners' association
CA,Public limited companies,Limited company by shares
CA,Other legal forms,Limited liability corporation
CA,Other legal forms,Company
CA,Other legal forms,Fund
CA,Other legal forms,Open-ended investment company
CA,Other legal forms,Closed-ended investment company
CA,Other legal forms,Unlisted closed-ended investment company
CA,Partnerships,Partnership
CA,Sole traders/proprietorships,Sole proprietorship
CA,Non profit organisations,Association
CA,Non profit organisations,Limited company by guarantee
CA,Public authorities,Government body
CA,Other legal forms,Credit union
CA,Other legal forms,Pension fund
CA,Partnerships,Savings bank
CD,Private limited companies,Limited liability company
CD,Public authorities,Public authority
CD,Public limited companies,Limited company
CD,Private limited companies,Private limited company
CD,Companies with unknown/unrecorded legal form,NA
CD,Sole traders/proprietorships,Sole trader
CD,Partnerships,General partnership
CD,Non profit organisations,Association
CD,Branches,Branch of a foreign company
CD,Partnerships,Cooperative society
CF,Public limited companies,Limited company
CF,Companies with unknown/unrecorded legal form,NA
CF,Private limited companies,Limited liability company
CF,Private limited companies,Private limited company
CF,Non profit organisations,Association
CG,Private limited companies,Private limited company
CG,Branches,Branch of a foreign company
CG,Public limited companies,Limited company
CG,Companies with unknown/unrecorded legal form,NA
CG,Private limited companies,Limited liability company
CG,Partnerships,General partnership
CG,Public authorities,Public authority
CG,Non profit organisations,Association
